Respondent ID,Age,Gender,Favorite Toy,Play Frequency,Play Context,Toy Discovery,Seasonal Interest,Digital vs. Physical,Character Connection,New Toy Interest,Play Duration,Play Space,Purchase Decision Factors,Purchase Channels,Budget Allocation (£/yr),Advertising Impact Channels,Developmental Benefits,Brand Perceptions,Sustainability Importance,Digital Balance,Long-Term Value,Trend Awareness Sources
R077,4,Female,Transformers,Less often,Peer play,Store display,Seasonal,Digital mostly,Spider-Man,Barbie Doll,1 hr,Playroom,"Educational (5), Interest (5), Price (4)","Smyths, Argos",150,"YouTube, Social media","Cognitive dev., Fine motor skills","LEGO (Innovative), Barbie (Trusted)",Somewhat (3),Timer-based play,High (5),"Parent forums, Instagram"
R078,4,Male,LOL Surprise,Several times/week,Peer play,Store display,Year-round,Mix of both,Peppa Pig,LOL Surprise,1 hr,Playroom,"Educational (5), Interest (5), Price (4)","Argos, Tesco",100,"Social media, Parent forums","Creativity, Fine motor skills","LEGO (Innovative), Barbie (Trusted)",Very important (5),1hr on weekends,Low (1),"YouTube, Parent forums"
R079,9,Female,Fisher-Price Piano,Weekly,Mixed,Gift from friend,Seasonal,Digital mostly,Peppa Pig,Nintendo Switch,15 mins,Living Room,"Educational (5), Interest (5), Price (4)","Argos, Amazon",300,"YouTube, Social media","Creativity, STEM","LEGO (Innovative), Barbie (Trusted)",Important (4),Timer-based play,Low (1),"Newsletters, Parent forums"
R080,7,Female,LOL Surprise,Daily,Family play,TV ad,Year-round,Physical only,Minions,Play-Doh,1 hr,Playroom,"Educational (5), Interest (5), Price (4)","Tesco, Brand Website",300,"Social media, YouTube","Emotional regulation, Creativity","LEGO (Innovative), Barbie (Trusted)",Somewhat (3),50/50 balance,Low (1),"Newsletters, Parent forums"
R081,3,Male,LEGO Minecraft,Weekly,Solo play,YouTube ad,Year-round,Digital mostly,Paw Patrol,LEGO Minecraft,30 mins,Living Room,"Educational (5), Interest (5), Price (4)","Brand Website, Smyths",150,"Social media, YouTube","Cognitive dev., STEM","LEGO (Innovative), Barbie (Trusted)",Somewhat (3),50/50 balance,Medium (3),"Parent forums, Newsletters"
R082,9,Male,Play-Doh,Several times/week,Solo play,YouTube ad,Weather-dependent,Mix of both,Elsa (Frozen),Transformers,45 mins,Playroom,"Educational (5), Interest (5), Price (4)","Argos, Amazon",350,"In-store displays, Social media","Cognitive dev., Emotional regulation","LEGO (Innovative), Barbie (Trusted)",Important (4),Timer-based play,High (5),"Teachers, Newsletters"
R083,2,Female,Cocomelon Set,Weekly,Mixed,YouTube ad,Occasion-based,Mix of both,Elsa (Frozen),Nintendo Switch,45 mins,Kitchen Table,"Educational (5), Interest (5), Price (4)","Smyths, Amazon",350,"TV, Social media","Creativity, Cognitive dev.","LEGO (Innovative), Barbie (Trusted)",Important (4),1hr on weekends,Low (1),"YouTube, Newsletters"
R084,4,Female,LOL Surprise,Weekly,Solo play,YouTube ad,Seasonal,Digital mostly,Minions,Cocomelon Set,1 hr,Backyard,"Educational (5), Interest (5), Price (4)","Brand Website, Amazon",300,"Parent forums, TV","STEM, Creativity","LEGO (Innovative), Barbie (Trusted)",Very important (5),1hr on weekends,Low (1),"Newsletters, YouTube"
R085,6,Male,Barbie Doll,Weekly,Mixed,Store display,Weather-dependent,Digital mostly,Minions,Transformers,45 mins,Living Room,"Educational (5), Interest (5), Price (4)","Argos, Smyths",350,"Parent forums, Social media","Creativity, Fine motor skills","LEGO (Innovative), Barbie (Trusted)",Somewhat (3),1hr on weekends,Low (1),"Teachers, Parent forums"
R086,9,Male,Nintendo Switch,Daily,Peer play,YouTube ad,Occasion-based,Physical only,Mario,Barbie Doll,30 mins,Kitchen Table,"Educational (5), Interest (5), Price (4)","Argos, Brand Website",150,"TV, Social media","STEM, Creativity","LEGO (Innovative), Barbie (Trusted)",Not important (1),50/50 balance,High (5),"Teachers, Instagram"
R087,9,Female,Hot Wheels,Weekly,Mixed,YouTube ad,Weather-dependent,Physical only,Sonic the Hedgehog,Cocomelon Set,30 mins,Playroom,"Educational (5), Interest (5), Price (4)","Brand Website, Smyths",250,"In-store displays, Social media","Fine motor skills, STEM","LEGO (Innovative), Barbie (Trusted)",Very important (5),1hr on weekends,Low (1),"Teachers, Newsletters"
R088,5,Male,Barbie Doll,Weekly,Family play,Gift from friend,Weather-dependent,Mix of both,Sonic the Hedgehog,Fisher-Price Piano,45 mins,Living Room,"Educational (5), Interest (5), Price (4)","Smyths, Brand Website",300,"Social media, YouTube","STEM, Creativity","LEGO (Innovative), Barbie (Trusted)",Very important (5),50/50 balance,High (5),"Parent forums, Teachers"
R089,8,Male,LOL Surprise,Less often,Peer play,Gift from friend,Occasion-based,Mix of both,Elsa (Frozen),Nintendo Switch,45 mins,Kitchen Table,"Educational (5), Interest (5), Price (4)","Argos, Smyths",100,"In-store displays, Parent forums","Cognitive dev., Fine motor skills","LEGO (Innovative), Barbie (Trusted)",Somewhat (3),1hr on weekends,Low (1),"Parent forums, Newsletters"
R090,4,Female,LOL Surprise,Daily,Mixed,YouTube ad,Occasion-based,Physical only,Peppa Pig,LOL Surprise,1 hr,Bedroom,"Educational (5), Interest (5), Price (4)","Brand Website, Smyths",150,"YouTube, Social media","Cognitive dev., Fine motor skills","LEGO (Innovative), Barbie (Trusted)",Very important (5),Timer-based play,Medium (3),"Teachers, Parent forums"
R091,6,Female,LOL Surprise,Less often,Peer play,Store display,Occasion-based,Physical only,Spider-Man,Nintendo Switch,1 hr,Kitchen Table,"Educational (5), Interest (5), Price (4)","Smyths, Tesco",350,"TV, Social media","Creativity, STEM","LEGO (Innovative), Barbie (Trusted)",Somewhat (3),No screens after 6PM,High (5),"Newsletters, Teachers"
R092,8,Male,Play-Doh,Daily,Peer play,TV ad,Year-round,Digital mostly,Minions,Cocomelon Set,45 mins,Bedroom,"Educational (5), Interest (5), Price (4)","Argos, Tesco",150,"In-store displays, YouTube","Fine motor skills, Creativity","LEGO (Innovative), Barbie (Trusted)",Somewhat (3),No screens after 6PM,Medium (3),"Instagram, Parent forums"
R093,7,Female,Transformers,Weekly,Peer play,Social media,Weather-dependent,Physical only,Spider-Man,Nintendo Switch,30 mins,Backyard,"Educational (5), Interest (5), Price (4)","Amazon, Tesco",200,"Social media, TV","Fine motor skills, Cognitive dev.","LEGO (Innovative), Barbie (Trusted)",Important (4),1hr on weekends,Low (1),"Newsletters, Instagram"
R094,5,Male,Transformers,Less often,Family play,TV ad,Occasion-based,Digital mostly,Minions,Hot Wheels,45 mins,Bedroom,"Educational (5), Interest (5), Price (4)","Brand Website, Tesco",350,"In-store displays, Social media","Cognitive dev., Creativity","LEGO (Innovative), Barbie (Trusted)",Very important (5),1hr on weekends,Low (1),"Newsletters, YouTube"
R095,7,Female,Transformers,Several times/week,Mixed,YouTube ad,Occasion-based,Mix of both,Sonic the Hedgehog,Barbie Doll,15 mins,Living Room,"Educational (5), Interest (5), Price (4)","Tesco, Amazon",200,"Social media, TV","Cognitive dev., Creativity","LEGO (Innovative), Barbie (Trusted)",Very important (5),50/50 balance,Medium (3),"Parent forums, YouTube"
R096,6,Female,LEGO Minecraft,Daily,Solo play,YouTube ad,Weather-dependent,Mix of both,Minions,Play-Doh,1 hr,Kitchen Table,"Educational (5), Interest (5), Price (4)","Smyths, Amazon",300,"In-store displays, TV","Cognitive dev., Emotional regulation","LEGO (Innovative), Barbie (Trusted)",Important (4),50/50 balance,Medium (3),"YouTube, Instagram"
R097,7,Female,Play-Doh,Less often,Family play,TV ad,Weather-dependent,Mix of both,Elsa (Frozen),LOL Surprise,30 mins,Backyard,"Educational (5), Interest (5), Price (4)","Amazon, Brand Website",100,"TV, In-store displays","STEM, Emotional regulation","LEGO (Innovative), Barbie (Trusted)",Not important (1),No screens after 6PM,High (5),"Parent forums, YouTube"
R098,9,Male,Fisher-Price Piano,Less often,Mixed,Store display,Occasion-based,Mix of both,Mario,Barbie Doll,1 hr,Living Room,"Educational (5), Interest (5), Price (4)","Smyths, Amazon",300,"Parent forums, YouTube","Cognitive dev., Emotional regulation","LEGO (Innovative), Barbie (Trusted)",Important (4),1hr on weekends,Low (1),"Teachers, Instagram"
R099,9,Male,Fisher-Price Piano,Less often,Family play,Store display,Year-round,Mix of both,Spider-Man,LEGO Minecraft,30 mins,Backyard,"Educational (5), Interest (5), Price (4)","Amazon, Brand Website",350,"YouTube, Social media","Cognitive dev., Creativity","LEGO (Innovative), Barbie (Trusted)",Somewhat (3),50/50 balance,Medium (3),"Parent forums, Newsletters"
R100,2,Male,Transformers,Daily,Family play,Gift from friend,Seasonal,Physical only,Elsa (Frozen),Barbie Doll,45 mins,Kitchen Table,"Educational (5), Interest (5), Price (4)","Amazon, Smyths",300,"YouTube, Parent forums","STEM, Cognitive dev.","LEGO (Innovative), Barbie (Trusted)",Very important (5),50/50 balance,Medium (3),"Instagram, Parent forums"
R101,5,Male,LEGO Minecraft,Less often,Family play,Gift from friend,Weather-dependent,Mix of both,Minions,LEGO Minecraft,15 mins,Bedroom,"Educational (5), Interest (5), Price (4)","Argos, Smyths",350,"YouTube, In-store displays","STEM, Cognitive dev.","LEGO (Innovative), Barbie (Trusted)",Important (4),50/50 balance,Low (1),"YouTube, Parent forums"
R102,4,Female,LOL Surprise,Weekly,Mixed,Social media,Weather-dependent,Physical only,Spider-Man,LOL Surprise,45 mins,Bedroom,"Educational (5), Interest (5), Price (4)","Smyths, Brand Website",300,"TV, Social media","STEM, Fine motor skills","LEGO (Innovative), Barbie (Trusted)",Very important (5),No screens after 6PM,High (5),"Instagram, YouTube"
R103,6,Female,Play-Doh,Several times/week,Mixed,Social media,Seasonal,Physical only,Peppa Pig,Transformers,15 mins,Kitchen Table,"Educational (5), Interest (5), Price (4)","Amazon, Brand Website",350,"Parent forums, Social media","Cognitive dev., Fine motor skills","LEGO (Innovative), Barbie (Trusted)",Important (4),50/50 balance,Medium (3),"Newsletters, Teachers"
R104,3,Female,LOL Surprise,Less often,Peer play,TV ad,Year-round,Mix of both,Sonic the Hedgehog,Hot Wheels,1 hr,Backyard,"Educational (5), Interest (5), Price (4)","Brand Website, Smyths",250,"In-store displays, YouTube","Creativity, Fine motor skills","LEGO (Innovative), Barbie (Trusted)",Somewhat (3),1hr on weekends,High (5),"YouTube, Teachers"
R105,7,Female,Hot Wheels,Several times/week,Mixed,Store display,Seasonal,Mix of both,Bluey,Fisher-Price Piano,30 mins,Living Room,"Educational (5), Interest (5), Price (4)","Amazon, Argos",150,"Parent forums, YouTube","Creativity, Fine motor skills","LEGO (Innovative), Barbie (Trusted)",Not important (1),Timer-based play,Low (1),"Parent forums, Teachers"
R106,9,Male,Hot Wheels,Less often,Peer play,Social media,Weather-dependent,Physical only,Peppa Pig,LEGO Minecraft,45 mins,Kitchen Table,"Educational (5), Interest (5), Price (4)","Amazon, Smyths",100,"Parent forums, YouTube","Cognitive dev., STEM","LEGO (Innovative), Barbie (Trusted)",Very important (5),50/50 balance,High (5),"Teachers, Parent forums"
R107,2,Female,Cocomelon Set,Daily,Mixed,Gift from friend,Weather-dependent,Digital mostly,Peppa Pig,Nintendo Switch,45 mins,Living Room,"Educational (5), Interest (5), Price (4)","Tesco, Argos",200,"Parent forums, YouTube","Cognitive dev., STEM","LEGO (Innovative), Barbie (Trusted)",Somewhat (3),Timer-based play,High (5),"Parent forums, Instagram"
R108,9,Male,Transformers,Several times/week,Family play,Gift from friend,Year-round,Digital mostly,Mario,LEGO Minecraft,1 hr,Kitchen Table,"Educational (5), Interest (5), Price (4)","Smyths, Tesco",100,"YouTube, Social media","STEM, Cognitive dev.","LEGO (Innovative), Barbie (Trusted)",Somewhat (3),Timer-based play,Medium (3),"YouTube, Newsletters"
R109,2,Male,Hot Wheels,Daily,Mixed,TV ad,Weather-dependent,Mix of both,Paw Patrol,LEGO Minecraft,1 hr,Kitchen Table,"Educational (5), Interest (5), Price (4)","Smyths, Tesco",300,"TV, In-store displays","Creativity, Cognitive dev.","LEGO (Innovative), Barbie (Trusted)",Very important (5),No screens after 6PM,High (5),"Parent forums, Teachers"
R110,5,Male,Nintendo Switch,Less often,Peer play,Gift from friend,Weather-dependent,Mix of both,Bluey,Fisher-Price Piano,15 mins,Bedroom,"Educational (5), Interest (5), Price (4)","Tesco, Amazon",150,"Social media, YouTube","STEM, Fine motor skills","LEGO (Innovative), Barbie (Trusted)",Not important (1),1hr on weekends,Medium (3),"Parent forums, Teachers"
R111,5,Female,LOL Surprise,Less often,Mixed,YouTube ad,Year-round,Digital mostly,Mario,LEGO Minecraft,15 mins,Living Room,"Educational (5), Interest (5), Price (4)","Smyths, Argos",250,"In-store displays, TV","Cognitive dev., Creativity","LEGO (Innovative), Barbie (Trusted)",Important (4),50/50 balance,Low (1),"Parent forums, Teachers"
R112,2,Female,Barbie Doll,Less often,Solo play,Store display,Year-round,Physical only,Bluey,Barbie Doll,45 mins,Bedroom,"Educational (5), Interest (5), Price (4)","Tesco, Brand Website",250,"Social media, In-store displays","STEM, Fine motor skills","LEGO (Innovative), Barbie (Trusted)",Important (4),Timer-based play,Medium (3),"Parent forums, Teachers"
R113,6,Male,Nintendo Switch,Weekly,Mixed,TV ad,Year-round,Physical only,Sonic the Hedgehog,Transformers,30 mins,Bedroom,"Educational (5), Interest (5), Price (4)","Smyths, Tesco",100,"YouTube, In-store displays","Creativity, STEM","LEGO (Innovative), Barbie (Trusted)",Somewhat (3),1hr on weekends,Low (1),"Teachers, Instagram"
R114,9,Male,Hot Wheels,Less often,Solo play,YouTube ad,Occasion-based,Physical only,Spider-Man,LEGO Minecraft,1 hr,Bedroom,"Educational (5), Interest (5), Price (4)","Amazon, Brand Website",200,"In-store displays, TV","Creativity, STEM","LEGO (Innovative), Barbie (Trusted)",Somewhat (3),No screens after 6PM,High (5),"Instagram, Newsletters"
R115,7,Male,Transformers,Weekly,Peer play,Gift from friend,Weather-dependent,Physical only,Elsa (Frozen),Transformers,30 mins,Kitchen Table,"Educational (5), Interest (5), Price (4)","Brand Website, Smyths",350,"YouTube, Parent forums","STEM, Cognitive dev.","LEGO (Innovative), Barbie (Trusted)",Not important (1),1hr on weekends,High (5),"Teachers, Newsletters"
R116,8,Male,Barbie Doll,Daily,Mixed,Store display,Weather-dependent,Digital mostly,Paw Patrol,Hot Wheels,45 mins,Living Room,"Educational (5), Interest (5), Price (4)","Smyths, Argos",150,"In-store displays, TV","STEM, Fine motor skills","LEGO (Innovative), Barbie (Trusted)",Somewhat (3),Timer-based play,Medium (3),"Instagram, Parent forums"
R117,3,Female,Nintendo Switch,Less often,Peer play,YouTube ad,Weather-dependent,Digital mostly,Elsa (Frozen),Fisher-Price Piano,45 mins,Playroom,"Educational (5), Interest (5), Price (4)","Amazon, Smyths",100,"Social media, YouTube","Fine motor skills, Creativity","LEGO (Innovative), Barbie (Trusted)",Important (4),No screens after 6PM,High (5),"Instagram, Newsletters"
R118,8,Male,Nintendo Switch,Weekly,Peer play,Social media,Weather-dependent,Mix of both,Peppa Pig,LEGO Minecraft,30 mins,Bedroom,"Educational (5), Interest (5), Price (4)","Argos, Brand Website",250,"Parent forums, In-store displays","Cognitive dev., Fine motor skills","LEGO (Innovative), Barbie (Trusted)",Important (4),No screens after 6PM,High (5),"Instagram, Newsletters"
R119,7,Female,Hot Wheels,Less often,Family play,Gift from friend,Occasion-based,Digital mostly,Peppa Pig,LEGO Minecraft,45 mins,Bedroom,"Educational (5), Interest (5), Price (4)","Amazon, Argos",350,"TV, Social media","STEM, Emotional regulation","LEGO (Innovative), Barbie (Trusted)",Very important (5),Timer-based play,Medium (3),"YouTube, Teachers"
R120,3,Female,Fisher-Price Piano,Several times/week,Solo play,Store display,Weather-dependent,Physical only,Elsa (Frozen),Cocomelon Set,45 mins,Backyard,"Educational (5), Interest (5), Price (4)","Brand Website, Smyths",150,"Parent forums, In-store displays","STEM, Emotional regulation","LEGO (Innovative), Barbie (Trusted)",Important (4),50/50 balance,Low (1),"Newsletters, Parent forums"
R121,2,Female,LEGO Minecraft,Weekly,Family play,Store display,Occasion-based,Mix of both,Mario,Cocomelon Set,30 mins,Bedroom,"Educational (5), Interest (5), Price (4)","Tesco, Argos",250,"TV, Parent forums","Fine motor skills, Emotional regulation","LEGO (Innovative), Barbie (Trusted)",Somewhat (3),No screens after 6PM,Medium (3),"YouTube, Instagram"
R122,9,Female,Fisher-Price Piano,Less often,Mixed,Gift from friend,Seasonal,Digital mostly,Mario,Transformers,30 mins,Backyard,"Educational (5), Interest (5), Price (4)","Brand Website, Argos",300,"TV, YouTube","Creativity, Fine motor skills","LEGO (Innovative), Barbie (Trusted)",Not important (1),Timer-based play,High (5),"Instagram, YouTube"
R123,7,Male,Barbie Doll,Several times/week,Solo play,Gift from friend,Weather-dependent,Digital mostly,Peppa Pig,Hot Wheels,45 mins,Kitchen Table,"Educational (5), Interest (5), Price (4)","Amazon, Argos",350,"In-store displays, Social media","Cognitive dev., Emotional regulation","LEGO (Innovative), Barbie (Trusted)",Important (4),50/50 balance,Low (1),"Teachers, Parent forums"
R124,7,Female,Fisher-Price Piano,Weekly,Solo play,Store display,Seasonal,Digital mostly,Mario,LEGO Minecraft,15 mins,Backyard,"Educational (5), Interest (5), Price (4)","Brand Website, Amazon",150,"Social media, In-store displays","STEM, Fine motor skills","LEGO (Innovative), Barbie (Trusted)",Somewhat (3),50/50 balance,Medium (3),"Newsletters, Parent forums"
R125,5,Male,Nintendo Switch,Weekly,Family play,Gift from friend,Weather-dependent,Digital mostly,Minions,Hot Wheels,1 hr,Kitchen Table,"Educational (5), Interest (5), Price (4)","Amazon, Smyths",200,"In-store displays, YouTube","Emotional regulation, Cognitive dev.","LEGO (Innovative), Barbie (Trusted)",Important (4),50/50 balance,High (5),"Newsletters, YouTube"
R126,9,Female,Barbie Doll,Weekly,Peer play,Social media,Year-round,Physical only,Peppa Pig,Barbie Doll,15 mins,Backyard,"Educational (5), Interest (5), Price (4)","Amazon, Brand Website",250,"TV, In-store displays","Cognitive dev., Emotional regulation","LEGO (Innovative), Barbie (Trusted)",Somewhat (3),1hr on weekends,Medium (3),"Parent forums, YouTube"
R127,9,Male,Fisher-Price Piano,Several times/week,Family play,YouTube ad,Weather-dependent,Mix of both,Paw Patrol,LEGO Minecraft,15 mins,Living Room,"Educational (5), Interest (5), Price (4)","Amazon, Tesco",200,"In-store displays, TV","STEM, Emotional regulation","LEGO (Innovative), Barbie (Trusted)",Important (4),1hr on weekends,Medium (3),"Teachers, Parent forums"
R128,8,Male,Fisher-Price Piano,Less often,Peer play,Social media,Year-round,Mix of both,Elsa (Frozen),Hot Wheels,45 mins,Playroom,"Educational (5), Interest (5), Price (4)","Tesco, Amazon",350,"TV, Social media","Emotional regulation, Creativity","LEGO (Innovative), Barbie (Trusted)",Not important (1),No screens after 6PM,Medium (3),"Teachers, Newsletters"
R129,9,Female,Hot Wheels,Several times/week,Mixed,TV ad,Seasonal,Digital mostly,Sonic the Hedgehog,LEGO Minecraft,30 mins,Bedroom,"Educational (5), Interest (5), Price (4)","Argos, Smyths",350,"TV, Social media","Cognitive dev., Fine motor skills","LEGO (Innovative), Barbie (Trusted)",Somewhat (3),No screens after 6PM,Low (1),"YouTube, Teachers"
R130,4,Male,LEGO Minecraft,Less often,Mixed,Store display,Occasion-based,Mix of both,Peppa Pig,Fisher-Price Piano,45 mins,Living Room,"Educational (5), Interest (5), Price (4)","Amazon, Brand Website",150,"Parent forums, Social media","Cognitive dev., Fine motor skills","LEGO (Innovative), Barbie (Trusted)",Important (4),50/50 balance,High (5),"Teachers, Instagram"
R131,6,Female,LOL Surprise,Daily,Mixed,Social media,Occasion-based,Digital mostly,Paw Patrol,LEGO Minecraft,30 mins,Living Room,"Educational (5), Interest (5), Price (4)","Amazon, Smyths",300,"In-store displays, TV","STEM, Cognitive dev.","LEGO (Innovative), Barbie (Trusted)",Important (4),1hr on weekends,Medium (3),"Instagram, Newsletters"
R132,2,Male,Fisher-Price Piano,Weekly,Family play,TV ad,Weather-dependent,Mix of both,Sonic the Hedgehog,Play-Doh,15 mins,Playroom,"Educational (5), Interest (5), Price (4)","Smyths, Amazon",100,"Social media, In-store displays","Creativity, STEM","LEGO (Innovative), Barbie (Trusted)",Important (4),50/50 balance,High (5),"Parent forums, Instagram"
R133,4,Female,Barbie Doll,Less often,Family play,YouTube ad,Occasion-based,Physical only,Mario,LEGO Minecraft,1 hr,Bedroom,"Educational (5), Interest (5), Price (4)","Brand Website, Tesco",200,"TV, In-store displays","Fine motor skills, Creativity","LEGO (Innovative), Barbie (Trusted)",Somewhat (3),No screens after 6PM,Medium (3),"Teachers, Newsletters"
R134,3,Female,LOL Surprise,Daily,Mixed,Social media,Occasion-based,Physical only,Spider-Man,LOL Surprise,30 mins,Bedroom,"Educational (5), Interest (5), Price (4)","Argos, Amazon",150,"In-store displays, Social media","STEM, Cognitive dev.","LEGO (Innovative), Barbie (Trusted)",Not important (1),No screens after 6PM,High (5),"Parent forums, Instagram"
R135,8,Male,Hot Wheels,Weekly,Family play,Store display,Weather-dependent,Digital mostly,Minions,Hot Wheels,45 mins,Bedroom,"Educational (5), Interest (5), Price (4)","Brand Website, Amazon",350,"YouTube, TV","Emotional regulation, Creativity","LEGO (Innovative), Barbie (Trusted)",Important (4),Timer-based play,Medium (3),"Instagram, Parent forums"
R136,5,Male,LOL Surprise,Daily,Family play,YouTube ad,Year-round,Physical only,Elsa (Frozen),Cocomelon Set,30 mins,Playroom,"Educational (5), Interest (5), Price (4)","Smyths, Argos",150,"YouTube, TV","STEM, Fine motor skills","LEGO (Innovative), Barbie (Trusted)",Important (4),Timer-based play,Medium (3),"Teachers, Newsletters"
R137,5,Female,Play-Doh,Daily,Peer play,Social media,Occasion-based,Mix of both,Paw Patrol,Transformers,30 mins,Living Room,"Educational (5), Interest (5), Price (4)","Argos, Tesco",100,"In-store displays, TV","STEM, Cognitive dev.","LEGO (Innovative), Barbie (Trusted)",Important (4),50/50 balance,Low (1),"Teachers, Newsletters"
R138,5,Male,Nintendo Switch,Daily,Mixed,TV ad,Occasion-based,Physical only,Spider-Man,Hot Wheels,45 mins,Bedroom,"Educational (5), Interest (5), Price (4)","Smyths, Brand Website",250,"In-store displays, Parent forums","Fine motor skills, Cognitive dev.","LEGO (Innovative), Barbie (Trusted)",Very important (5),1hr on weekends,Medium (3),"Instagram, Parent forums"
R139,7,Female,Barbie Doll,Weekly,Solo play,TV ad,Weather-dependent,Physical only,Mario,LEGO Minecraft,30 mins,Backyard,"Educational (5), Interest (5), Price (4)","Tesco, Smyths",250,"YouTube, In-store displays","Cognitive dev., Creativity","LEGO (Innovative), Barbie (Trusted)",Very important (5),No screens after 6PM,Low (1),"YouTube, Newsletters"
R140,9,Male,Hot Wheels,Several times/week,Mixed,TV ad,Weather-dependent,Physical only,Paw Patrol,Fisher-Price Piano,45 mins,Playroom,"Educational (5), Interest (5), Price (4)","Brand Website, Tesco",250,"TV, In-store displays","Cognitive dev., Emotional regulation","LEGO (Innovative), Barbie (Trusted)",Not important (1),Timer-based play,High (5),"Newsletters, Instagram"
R141,9,Female,Nintendo Switch,Daily,Mixed,Gift from friend,Year-round,Digital mostly,Spider-Man,Hot Wheels,15 mins,Living Room,"Educational (5), Interest (5), Price (4)","Argos, Brand Website",200,"Social media, TV","Fine motor skills, Cognitive dev.","LEGO (Innovative), Barbie (Trusted)",Important (4),No screens after 6PM,Medium (3),"Teachers, Instagram"
R142,4,Female,Barbie Doll,Several times/week,Family play,Store display,Weather-dependent,Mix of both,Spider-Man,Barbie Doll,15 mins,Backyard,"Educational (5), Interest (5), Price (4)","Tesco, Smyths",300,"In-store displays, Parent forums","Creativity, Cognitive dev.","LEGO (Innovative), Barbie (Trusted)",Somewhat (3),50/50 balance,Medium (3),"Newsletters, Teachers"
R143,6,Male,Play-Doh,Weekly,Family play,Store display,Seasonal,Physical only,Sonic the Hedgehog,Play-Doh,15 mins,Playroom,"Educational (5), Interest (5), Price (4)","Argos, Smyths",250,"Social media, Parent forums","Cognitive dev., Fine motor skills","LEGO (Innovative), Barbie (Trusted)",Very important (5),50/50 balance,Medium (3),"Newsletters, Instagram"
R144,3,Male,Barbie Doll,Daily,Mixed,Gift from friend,Occasion-based,Digital mostly,Bluey,Play-Doh,1 hr,Living Room,"Educational (5), Interest (5), Price (4)","Brand Website, Amazon",100,"TV, In-store displays","Creativity, Fine motor skills","LEGO (Innovative), Barbie (Trusted)",Not important (1),1hr on weekends,Medium (3),"YouTube, Teachers"
R145,2,Male,Play-Doh,Less often,Solo play,Store display,Weather-dependent,Digital mostly,Elsa (Frozen),Fisher-Price Piano,30 mins,Kitchen Table,"Educational (5), Interest (5), Price (4)","Argos, Brand Website",350,"Parent forums, TV","Emotional regulation, Cognitive dev.","LEGO (Innovative), Barbie (Trusted)",Not important (1),1hr on weekends,High (5),"Newsletters, Teachers"
R146,2,Female,Transformers,Weekly,Solo play,Store display,Year-round,Mix of both,Sonic the Hedgehog,Hot Wheels,15 mins,Kitchen Table,"Educational (5), Interest (5), Price (4)","Brand Website, Tesco",100,"In-store displays, Social media","Creativity, STEM","LEGO (Innovative), Barbie (Trusted)",Very important (5),Timer-based play,Medium (3),"Teachers, Instagram"
R147,6,Female,LEGO Minecraft,Less often,Solo play,Social media,Occasion-based,Physical only,Mario,Barbie Doll,1 hr,Backyard,"Educational (5), Interest (5), Price (4)","Brand Website, Argos",250,"Parent forums, Social media","Cognitive dev., STEM","LEGO (Innovative), Barbie (Trusted)",Somewhat (3),Timer-based play,High (5),"Newsletters, YouTube"
R148,7,Male,LOL Surprise,Weekly,Mixed,TV ad,Seasonal,Digital mostly,Sonic the Hedgehog,LEGO Minecraft,45 mins,Kitchen Table,"Educational (5), Interest (5), Price (4)","Argos, Brand Website",100,"Social media, In-store displays","Creativity, STEM","LEGO (Innovative), Barbie (Trusted)",Somewhat (3),Timer-based play,High (5),"Newsletters, Teachers"
R149,9,Female,Transformers,Weekly,Peer play,Gift from friend,Seasonal,Digital mostly,Paw Patrol,Hot Wheels,15 mins,Playroom,"Educational (5), Interest (5), Price (4)","Amazon, Smyths",100,"Parent forums, In-store displays","Creativity, Cognitive dev.","LEGO (Innovative), Barbie (Trusted)",Important (4),50/50 balance,High (5),"Instagram, Newsletters"
R150,7,Male,Hot Wheels,Several times/week,Solo play,Social media,Occasion-based,Physical only,Mario,Fisher-Price Piano,45 mins,Living Room,"Educational (5), Interest (5), Price (4)","Amazon, Argos",200,"Social media, Parent forums","STEM, Creativity","LEGO (Innovative), Barbie (Trusted)",Not important (1),50/50 balance,High (5),"Instagram, YouTube"
R151,8,Female,Fisher-Price Piano,Daily,Family play,YouTube ad,Weather-dependent,Mix of both,Sonic the Hedgehog,Transformers,1 hr,Bedroom,"Educational (5), Interest (5), Price (4)","Argos, Amazon",350,"TV, Social media","Emotional regulation, Fine motor skills","LEGO (Innovative), Barbie (Trusted)",Very important (5),1hr on weekends,Low (1),"Newsletters, Parent forums"
R152,8,Male,LOL Surprise,Several times/week,Solo play,Social media,Year-round,Mix of both,Minions,LEGO Minecraft,15 mins,Living Room,"Educational (5), Interest (5), Price (4)","Smyths, Tesco",250,"TV, Parent forums","STEM, Creativity","LEGO (Innovative), Barbie (Trusted)",Very important (5),1hr on weekends,High (5),"Parent forums, Instagram"
R153,8,Male,Nintendo Switch,Several times/week,Mixed,Gift from friend,Occasion-based,Physical only,Spider-Man,LEGO Minecraft,15 mins,Backyard,"Educational (5), Interest (5), Price (4)","Smyths, Tesco",150,"Social media, YouTube","STEM, Fine motor skills","LEGO (Innovative), Barbie (Trusted)",Important (4),1hr on weekends,Medium (3),"YouTube, Instagram"
